database_name	HMDB;LMSD
database_version	4.0;2020-09-08
104.010958616	C3H4O4	HMDB:HMDB0000691	HMDB:HMDB0001352	HMDB:HMDB0006938	LMFA01170041
104.029586052	C4H8OS	HMDB:HMDB0031190	HMDB:HMDB0031192	HMDB:HMDB0031857	HMDB:HMDB0031982	HMDB:HMDB0040170	HMDB:HMDB0041015	HMDB:HMDB0112254
104.047344122	C4H8O3	HMDB:HMDB0000008	HMDB:HMDB0000011	HMDB:HMDB0000023	HMDB:HMDB0000336	HMDB:HMDB0000357	HMDB:HMDB0000442	HMDB:HMDB0000710	HMDB:HMDB0000729	HMDB:HMDB0031212	HMDB:HMDB0059748	HMDB:HMDB0062640	HMDB:HMDB0126088	LMFA01050004	LMFA01050005	LMFA01050006	LMFA01050243	LMFA01050342	LMFA01050382	LMFA01050417	LMFA01050455	LMFA01050463
104.05857751	C3H8N2O2	HMDB:HMDB0002006	LMFA01100051
104.062600256	C8H8	HMDB:HMDB0034240
104.065971074	C5H12S	HMDB:HMDB0032457	HMDB:HMDB0033902	HMDB:HMDB0035418	HMDB:HMDB0036180	HMDB:HMDB0041010
104.107539075	C5H14NO	HMDB:HMDB0000097
105.042593095	C3H7NO3	HMDB:HMDB0000187	HMDB:HMDB0003406	HMDB:HMDB0062263	LMFA01100045
105.053826483	C2H7N3O2	HMDB:HMDB0031226
105.078978601	C4H11NO2	HMDB:HMDB0004437
105.903483087	Pd	HMDB:HMDB0013670
105.982157047	C3H3ClO2	HMDB:HMDB0060457	HMDB:HMDB0060515	LMFA01090069	LMFA01090071
106.008850126	C3H6O2S	HMDB:HMDB0031520	HMDB:HMDB0041604
106.02660868	C3H6O4	HMDB:HMDB0000139	HMDB:HMDB0006372	HMDB:HMDB0031818
106.041864814	C7H6O	HMDB:HMDB0006115
106.045235632	C4H10OS	HMDB:HMDB0031716	HMDB:HMDB0040185	HMDB:HMDB0041475
106.062994186	C4H10O3	HMDB:HMDB0034778	HMDB:HMDB0061944
106.07825032	C8H10	HMDB:HMDB0059810	HMDB:HMDB0059851	HMDB:HMDB0059905	HMDB:HMDB0059924
106.90509302	Ag	HMDB:HMDB0002659
106.985472136	CHNO5	HMDB:HMDB0062504
106.986340545	C2H5NS2	HMDB:HMDB0039221
107.038256646	C3H6FNO2	HMDB:HMDB0060434
107.073499293	C7H9N	HMDB:HMDB0029734	HMDB:HMDB0032244	HMDB:HMDB0032972	HMDB:HMDB0033871	HMDB:HMDB0041965
108.006741636	C3H8S2	HMDB:HMDB0031317	HMDB:HMDB0031631	HMDB:HMDB0031632	HMDB:HMDB0032912
108.021129372	C6H4O2	HMDB:HMDB0003364	HMDB:HMDB0012133
108.042258744	C3H8O4	HMDB:HMDB0034260
108.057514878	C7H8O	HMDB:HMDB0001858	HMDB:HMDB0002048	HMDB:HMDB0002055	HMDB:HMDB0003119	HMDB:HMDB0033895
108.068748266	C6H8N2	HMDB:HMDB0031849	HMDB:HMDB0032971	HMDB:HMDB0035248	HMDB:HMDB0035289
108.093900384	C8H12	HMDB:HMDB0061897
109.019749163	C2H7NO2S	HMDB:HMDB0000965
109.052763851	C6H7NO	HMDB:HMDB0001169	HMDB:HMDB0035882	HMDB:HMDB0040582
109.089149357	C7H11N	HMDB:HMDB0029722
109.96347202	C2H6Se	HMDB:HMDB0033212
109.969005542	C3H4Cl2	HMDB:HMDB0013592
109.986006194	C2H6OS2	HMDB:HMDB0032739
110.013457175	C3H7ClO2	HMDB:HMDB0031334
110.019020882	C6H6S	HMDB:HMDB0029726	HMDB:HMDB0033746
110.036779436	C6H6O2	HMDB:HMDB0000957	HMDB:HMDB0002434	HMDB:HMDB0031180	HMDB:HMDB0032037	HMDB:HMDB0033002	HMDB:HMDB0033127	LMFA06000011
110.048012824	C5H6N2O	HMDB:HMDB0003905	HMDB:HMDB0033156	HMDB:HMDB0060741
110.073164942	C7H10O	HMDB:HMDB0029721	HMDB:HMDB0029728	HMDB:HMDB0031541	HMDB:HMDB0040277	HMDB:HMDB0040278	HMDB:HMDB0061891	LMFA06000024	LMFA06000025	LMFA06000126
110.109550448	C8H14	HMDB:HMDB0040966	HMDB:HMDB0061899	HMDB:HMDB0061900	HMDB:HMDB0061901	HMDB:HMDB0061902
111.032028409	C5H5NO2	HMDB:HMDB0004230	HMDB:HMDB0038175
111.043261797	C4H5N3O	HMDB:HMDB0000630
111.068413915	C6H9NO	HMDB:HMDB0031163	HMDB:HMDB0031308	HMDB:HMDB0037837	HMDB:HMDB0037838	HMDB:HMDB0037858	HMDB:HMDB0037859	HMDB:HMDB0037863	HMDB:HMDB0039584	HMDB:HMDB0040148
111.079647303	C5H9N3	HMDB:HMDB0000870	HMDB:HMDB0014417	HMDB:HMDB0060263
111.888592518	SSe	HMDB:HMDB0015106
111.9482701	C2H2Cl2O	HMDB:HMDB0060333	HMDB:HMDB0060357	HMDB:HMDB0060452
111.99254516	CH5O4P	HMDB:HMDB0061711
111.99828544	C5H4OS	HMDB:HMDB0029717
112.007977867	C6H5Cl	HMDB:HMDB0041855
112.016043994	C5H4O3	HMDB:HMDB0000444	HMDB:HMDB0000617	HMDB:HMDB0032994	HMDB:HMDB0039437
112.027277382	C4H4N2O2	HMDB:HMDB0000300	HMDB:HMDB0060760
112.034670946	C6H8S	HMDB:HMDB0032977	HMDB:HMDB0032978	HMDB:HMDB0032979	HMDB:HMDB0032980	HMDB:HMDB0035384	HMDB:HMDB0035385
